Car_make,Model,Mileage,Transmission,Year,Website_post_date,Sell_date,Options,Horsepower
Ford,Fusion,45879,Automatic,2023,11.07.23,08.01.24,Base,325
BMW,3 Series,168442,Automatic,2022,27.06.23,15.01.24,Base,255
Mercedes-Benz,GLC,162907,Automatic,2018,26.08.23,05.01.24,Base,362
Mercedes-Benz,E-Class,57856,Automatic,2015,26.10.23,16.01.24,Full,255
BMW,X5,33511,Automatic,2004,13.04.23,16.11.23,Base,335
BMW,X3,121392,Automatic,2022,12.07.23,08.12.23,Full,382
Toyota,Corolla,153517,Automatic,2004,10.09.23,10.12.23,Luxe,139
Ford,Fusion,135932,Automatic,2010,05.02.23,11.02.24,Advanced,325
BMW,X3,66041,Automatic,2002,18.07.23,25.11.23,Advanced,382
Mercedes-Benz,E-Class,138626,Automatic,2001,16.03.23,21.01.24,Full,362
BMW,3 Series,110260,Automatic,2021,21.01.23,13.02.24,Advanced,255
BMW,X3,81259,Automatic,2021,07.05.23,24.12.23,Luxe,382
Mercedes-Benz,E-Class,85552,Automatic,2006,09.11.23,04.01.24,Base,255
Ford,F-150,125934,Automatic,2015,18.06.23,24.11.23,Luxe,400
Chevrolet,Silverado,147487,Automatic,2017,25.06.23,26.01.24,Advanced,355
Toyota,Prius,48352,Automatic,2003,02.12.22,16.12.23,Full,121
Ford,F-150,55144,Automatic,2018,05.06.23,18.11.23,Full,400
Ford,Explorer,177051,Automatic,2002,24.02.23,14.12.23,Full,290
BMW,X3,69589,Automatic,2010,12.09.23,19.11.23,Full,248
Ford,F-150,166431,Automatic,2012,30.06.23,25.01.24,Base,400
Ford,Mustang,186283,Automatic,2004,24.02.23,28.01.24,Full,300
Ford,Fusion,176422,Automatic,2005,20.06.23,12.01.24,Luxe,188
BMW,5 Series,73619,Automatic,2019,20.12.22,28.12.23,Advanced,248
Audi,Q5,124972,Automatic,2001,15.02.23,07.01.24,Base,261
Toyota,Prius,31860,Manual,2012,29.03.23,23.01.24,Advanced,121
Chevrolet,Silverado,105187,Automatic,2021,16.01.23,06.12.23,Luxe,355
Audi,Q5,20633,Automatic,2007,21.02.23,11.01.24,Full,349
Toyota,Prius,23953,Automatic,2010,15.05.23,07.12.23,Base,121
Audi,Q5,91126,Automatic,2004,25.09.23,10.12.23,Full,349
Mercedes-Benz,E-Class,127520,Automatic,2008,09.12.22,27.11.23,Advanced,362
Chevrolet,Malibu,94287,Automatic,2006,12.05.23,04.01.24,Full,250
Mercedes-Benz,C-Class,197224,Automatic,2004,12.10.23,03.12.23,Advanced,255
Ford,Explorer,186894,Automatic,2013,26.07.23,16.01.24,Base,300
BMW,3 Series,148153,Automatic,2000,01.08.23,11.12.23,Base,382
Mercedes-Benz,GLC,25503,Automatic,2015,26.12.22,16.11.23,Advanced,362
Audi,A6,163912,Automatic,2007,26.02.23,17.01.24,Advanced,335
Ford,F-150,96948,Automatic,2011,12.09.23,17.11.23,Advanced,400
Toyota,Prius,141600,Automatic,2018,01.10.23,16.01.24,Advanced,121
BMW,3 Series,121637,Automatic,2002,07.01.23,25.12.23,Full,382
Audi,A4,107672,Automatic,2018,16.06.23,03.12.23,Advanced,261
BMW,X5,110010,Automatic,2008,09.08.23,30.12.23,Full,335
Ford,Fusion,153480,Manual,2003,22.09.23,13.12.23,Advanced,325
Mercedes-Benz,E-Class,10246,Automatic,2006,13.09.23,15.01.24,Full,362
Audi,Q5,183680,Automatic,2010,12.12.22,13.02.24,Advanced,261
Ford,Mustang,199025,Automatic,2004,18.05.23,29.12.23,Base,450
BMW,X3,45311,Automatic,2017,13.02.23,24.11.23,Base,248
Chevrolet,Silverado,129290,Manual,2008,26.11.22,05.02.24,Base,355
BMW,X5,134713,Automatic,2006,23.02.23,07.01.24,Full,335
Audi,Q5,15443,Automatic,2019,10.08.23,03.01.24,Luxe,349
Ford,Fusion,112671,Automatic,2010,01.06.23,27.11.23,Luxe,325
Toyota,Camry,24251,Automatic,2007,01.03.23,30.01.24,Base,203
BMW,X5,53316,Automatic,2019,07.07.23,05.12.23,Advanced,456
Ford,Mustang,170977,Automatic,2014,09.03.23,13.12.23,Luxe,450
Chevrolet,Malibu,187707,Automatic,2016,08.01.23,15.01.24,Base,182
Chevrolet,Equinox,133803,Automatic,2003,26.04.23,26.01.24,Advanced,170
Audi,A6,141643,Automatic,2011,01.04.23,27.01.24,Full,335
Toyota,Corolla,102677,Automatic,2015,01.11.23,09.12.23,Full,139
Ford,F-150,157489,Automatic,2004,30.12.22,10.02.24,Advanced,400
Mercedes-Benz,GLC,192812,Automatic,2006,28.05.23,17.12.23,Base,255
Chevrolet,Impala,192086,Manual,2023,26.02.23,07.02.24,Base,305
BMW,X5,12987,Automatic,2002,28.09.23,25.01.24,Advanced,456
Mercedes-Benz,E-Class,124321,Automatic,2022,16.04.23,16.11.23,Luxe,255
Ford,F-150,13703,Automatic,2000,17.10.23,25.12.23,Base,400
Chevrolet,Malibu,21169,Automatic,2019,24.09.23,24.11.23,Luxe,250
Mercedes-Benz,C-Class,161583,Automatic,2015,10.09.23,31.12.23,Base,385
Toyota,RAV4,172175,Automatic,2008,22.08.23,14.01.24,Advanced,219
Toyota,Prius,146020,Automatic,2006,04.04.23,12.12.23,Luxe,121
Mercedes-Benz,S-Class,55767,Automatic,2000,10.11.23,24.01.24,Full,463
Mercedes-Benz,S-Class,69142,Automatic,2014,03.05.23,29.12.23,Full,362
Chevrolet,Silverado,115228,Automatic,2015,14.12.22,18.01.24,Advanced,285
Toyota,RAV4,27708,Automatic,2006,01.06.23,15.01.24,Luxe,219
Audi,Q5,187457,Automatic,2023,26.01.23,27.01.24,Luxe,261
Toyota,Corolla,73253,Automatic,2020,11.03.23,04.02.24,Full,169
Ford,Fusion,42996,Automatic,2018,30.11.22,16.12.23,Full,325
Mercedes-Benz,C-Class,44902,Automatic,2022,17.09.23,19.12.23,Full,255
Toyota,RAV4,13280,Automatic,2001,20.03.23,18.11.23,Luxe,203
BMW,3 Series,103862,Automatic,2017,27.01.23,24.11.23,Base,255
Chevrolet,Equinox,19804,Automatic,2003,04.10.23,25.11.23,Luxe,170
BMW,X5,27531,Automatic,2001,10.11.23,19.12.23,Full,335
BMW,X3,90403,Automatic,2017,04.08.23,08.02.24,Luxe,248
Toyota,Prius,176839,Automatic,2015,08.05.23,18.11.23,Advanced,121
Ford,Fusion,11272,Automatic,2008,22.12.22,28.11.23,Base,188
Mercedes-Benz,GLC,113761,Automatic,2015,27.08.23,20.01.24,Advanced,255
BMW,X5,31764,Automatic,2017,28.05.23,13.02.24,Base,456
Toyota,Corolla,43846,Automatic,2011,19.01.23,22.01.24,Base,169
Toyota,Camry,53148,Automatic,2000,27.08.23,09.02.24,Advanced,203
Chevrolet,Equinox,27378,Automatic,2013,08.07.23,14.01.24,Luxe,252
Chevrolet,Equinox,69325,Automatic,2009,23.08.23,02.02.24,Advanced,252
Toyota,RAV4,11797,Automatic,2010,17.01.23,07.02.24,Full,219
Chevrolet,Malibu,66086,Automatic,2010,24.07.23,30.12.23,Base,250
