Car_make,Model,Mileage,Transmission,Year,Website_post_date,Sell_date,Options,Horsepower
Ford,Fusion,45879,Automatic,2023,2023-07-11,2024-01-08,Base,325
BMW,3 Series,168442,Automatic,2022,2023-06-27,2024-01-15,Base,255
Mercedes-Benz,GLC,162907,Automatic,2018,2023-08-26,2024-01-05,Base,362
Mercedes-Benz,E-Class,57856,Automatic,2015,2023-10-26,2024-01-16,Full,255
BMW,X5,33511,Automatic,2004,2023-04-13,2023-11-16,Base,335
BMW,X3,121392,Automatic,2022,2023-07-12,2023-12-08,Full,382
Toyota,Corolla,153517,Automatic,2004,2023-09-10,2023-12-10,Luxe,139
Ford,Fusion,135932,Automatic,2010,2023-02-05,2024-02-11,Advanced,325
BMW,X3,66041,Automatic,2002,2023-07-18,2023-11-25,Advanced,382
Mercedes-Benz,E-Class,138626,Automatic,2001,2023-03-16,2024-01-21,Full,362
BMW,3 Series,110260,Automatic,2021,2023-01-21,2024-02-13,Advanced,255
BMW,X3,81259,Automatic,2021,2023-05-07,2023-12-24,Luxe,382
Mercedes-Benz,E-Class,85552,Automatic,2006,2023-11-09,2024-01-04,Base,255
Ford,F-150,125934,Automatic,2015,2023-06-18,2023-11-24,Luxe,400
Chevrolet,Silverado,147487,Automatic,2017,2023-06-25,2024-01-26,Advanced,355
Toyota,Prius,48352,Automatic,2003,2022-12-02,2023-12-16,Full,121
Ford,F-150,55144,Automatic,2018,2023-06-05,2023-11-18,Full,400
Ford,Explorer,177051,Automatic,2002,2023-02-24,2023-12-14,Full,290
BMW,X3,69589,Automatic,2010,2023-09-12,2023-11-19,Full,248
Ford,F-150,166431,Automatic,2012,2023-06-30,2024-01-25,Base,400
Ford,Mustang,186283,Automatic,2004,2023-02-24,2024-01-28,Full,300
Ford,Fusion,176422,Automatic,2005,2023-06-20,2024-01-12,Luxe,188
BMW,5 Series,73619,Automatic,2019,2022-12-20,2023-12-28,Advanced,248
Audi,Q5,124972,Automatic,2001,2023-02-15,2024-01-07,Base,261
Toyota,Prius,31860,Manual,2012,2023-03-29,2024-01-23,Advanced,121
Chevrolet,Silverado,105187,Automatic,2021,2023-01-16,2023-12-06,Luxe,355
Audi,Q5,20633,Automatic,2007,2023-02-21,2024-01-11,Full,349
Toyota,Prius,23953,Automatic,2010,2023-05-15,2023-12-07,Base,121
Audi,Q5,91126,Automatic,2004,2023-09-25,2023-12-10,Full,349
Mercedes-Benz,E-Class,127520,Automatic,2008,2022-12-09,2023-11-27,Advanced,362
Chevrolet,Malibu,94287,Automatic,2006,2023-05-12,2024-01-04,Full,250
Mercedes-Benz,C-Class,197224,Automatic,2004,2023-10-12,2023-12-03,Advanced,255
Ford,Explorer,186894,Automatic,2013,2023-07-26,2024-01-16,Base,300
BMW,3 Series,148153,Automatic,2000,2023-08-01,2023-12-11,Base,382
Mercedes-Benz,GLC,25503,Automatic,2015,2022-12-26,2023-11-16,Advanced,362
Audi,A6,163912,Automatic,2007,2023-02-26,2024-01-17,Advanced,335
Ford,F-150,96948,Automatic,2011,2023-09-12,2023-11-17,Advanced,400
Toyota,Prius,141600,Automatic,2018,2023-10-01,2024-01-16,Advanced,121
BMW,3 Series,121637,Automatic,2002,2023-01-07,2023-12-25,Full,382
Audi,A4,107672,Automatic,2018,2023-06-16,2023-12-03,Advanced,261
BMW,X5,110010,Automatic,2008,2023-08-09,2023-12-30,Full,335
Ford,Fusion,153480,Manual,2003,2023-09-22,2023-12-13,Advanced,325
Mercedes-Benz,E-Class,10246,Automatic,2006,2023-09-13,2024-01-15,Full,362
Audi,Q5,183680,Automatic,2010,2022-12-12,2024-02-13,Advanced,261
Ford,Mustang,199025,Automatic,2004,2023-05-18,2023-12-29,Base,450
BMW,X3,45311,Automatic,2017,2023-02-13,2023-11-24,Base,248
Chevrolet,Silverado,129290,Manual,2008,2022-11-26,2024-02-05,Base,355
BMW,X5,134713,Automatic,2006,2023-02-23,2024-01-07,Full,335
Audi,Q5,15443,Automatic,2019,2023-08-10,2024-01-03,Luxe,349
Ford,Fusion,112671,Automatic,2010,2023-06-01,2023-11-27,Luxe,325
Toyota,Camry,24251,Automatic,2007,2023-03-01,2024-01-30,Base,203
BMW,X5,53316,Automatic,2019,2023-07-07,2023-12-05,Advanced,456
Ford,Mustang,170977,Automatic,2014,2023-03-09,2023-12-13,Luxe,450
Chevrolet,Malibu,187707,Automatic,2016,2023-01-08,2024-01-15,Base,182
