ID,Car_make_id,Model_id,Fuel_type_id,Color_id,Body_style_id,Transmission_id,Options_id,Damage_id,Year,Mileage,Horsepower,Website_post_date,Sell_date,Num_of_prev_owners,Estimated_price
1,4,15,2,6,3,1,1,3,2023,45879,325,2023-07-11,2024-01-08,4,114875
2,2,5,2,2,6,1,1,3,2022,168442,255,2023-06-27,2024-01-15,3,18090
3,5,17,3,4,3,1,1,3,2018,162907,362,2023-08-26,2024-01-05,5,76575
4,5,19,2,2,8,1,4,1,2015,57856,255,2023-10-26,2024-01-16,1,67801
5,2,8,2,3,5,1,1,2,2004,33511,335,2023-04-13,2023-11-16,1,39794
6,2,7,4,3,1,1,4,2,2022,121392,382,2023-07-12,2023-12-08,1,87047
7,6,22,2,5,2,1,3,4,2004,153517,139,2023-09-10,2023-12-10,5,96449
8,4,15,5,4,3,1,2,3,2010,135932,325,2023-02-05,2024-02-11,5,99485
9,2,7,5,6,1,1,2,4,2002,66041,382,2023-07-18,2023-11-25,4,114200
10,5,19,4,2,4,1,4,1,2001,138626,362,2023-03-16,2024-01-21,3,66045
11,2,5,1,2,1,1,2,2,2021,110260,255,2023-01-21,2024-02-13,3,44465
12,2,7,2,5,6,1,3,4,2021,81259,382,2023-05-07,2023-12-24,3,47744
13,5,19,4,1,4,1,1,3,2006,85552,255,2023-11-09,2024-01-04,5,40682
14,4,14,5,6,6,1,3,2,2015,125934,400,2023-06-18,2023-11-24,5,18100
15,3,12,4,1,3,1,2,4,2017,147487,355,2023-06-25,2024-01-26,5,113696
16,6,23,5,3,3,1,4,1,2003,48352,121,2022-12-02,2023-12-16,3,37029
17,4,14,1,1,4,1,4,3,2018,55144,400,2023-06-05,2023-11-18,3,47812
18,4,13,5,3,1,1,4,1,2002,177051,290,2023-02-24,2023-12-14,4,20423
19,2,7,1,4,4,1,4,1,2010,69589,248,2023-09-12,2023-11-19,3,73950
20,4,14,5,2,5,1,1,2,2012,166431,400,2023-06-30,2024-01-25,5,83470
21,4,16,3,4,8,1,4,2,2004,186283,300,2023-02-24,2024-01-28,2,114323
22,4,15,2,6,3,1,3,1,2005,176422,188,2023-06-20,2024-01-12,4,107890
23,2,6,5,6,4,1,2,2,2019,73619,248,2022-12-20,2023-12-28,5,35577
24,1,3,5,3,4,1,1,1,2001,124972,261,2023-02-15,2024-01-07,5,21910
25,6,23,4,6,6,2,2,2,2012,31860,121,2023-03-29,2024-01-23,4,57074
26,3,12,2,1,5,1,3,4,2021,105187,355,2023-01-16,2023-12-06,1,79309
27,1,3,3,6,3,1,4,3,2007,20633,349,2023-02-21,2024-01-11,4,19235
28,6,23,4,6,4,1,1,4,2010,23953,121,2023-05-15,2023-12-07,2,96343
29,1,3,3,6,1,1,4,1,2004,91126,349,2023-09-25,2023-12-10,3,24451
30,5,19,4,2,5,1,2,2,2008,127520,362,2022-12-09,2023-11-27,2,111540
31,3,11,2,3,3,1,4,1,2006,94287,250,2023-05-12,2024-01-04,2,35845
32,5,18,3,1,2,1,2,3,2004,197224,255,2023-10-12,2023-12-03,4,42635
33,4,13,1,1,8,1,1,2,2013,186894,300,2023-07-26,2024-01-16,5,25951
34,2,5,5,3,6,1,1,1,2000,148153,382,2023-08-01,2023-12-11,1,85340
35,5,17,2,1,6,1,2,4,2015,25503,362,2022-12-26,2023-11-16,4,44370
36,1,2,4,3,2,1,2,2,2007,163912,335,2023-02-26,2024-01-17,4,116684
37,4,14,1,1,2,1,2,3,2011,96948,400,2023-09-12,2023-11-17,3,84308
38,6,23,1,4,1,1,2,1,2018,141600,121,2023-10-01,2024-01-16,4,68219
39,2,5,4,1,3,1,4,3,2002,121637,382,2023-01-07,2023-12-25,4,111233
40,1,1,2,5,8,1,2,2,2018,107672,261,2023-06-16,2023-12-03,5,43890
41,2,8,1,1,2,1,4,2,2008,110010,335,2023-08-09,2023-12-30,5,19280
42,4,15,1,4,4,2,2,2,2003,153480,325,2023-09-22,2023-12-13,3,20805
43,5,19,4,6,8,1,4,1,2006,10246,362,2023-09-13,2024-01-15,2,93473
44,1,3,2,5,1,1,2,1,2010,183680,261,2022-12-12,2024-02-13,3,33032
45,4,16,5,5,4,1,1,2,2004,199025,450,2023-05-18,2023-12-29,5,51538
46,2,7,4,3,7,1,1,1,2017,45311,248,2023-02-13,2023-11-24,2,23370
47,3,12,5,6,7,2,1,3,2008,129290,355,2022-11-26,2024-02-05,1,6050
48,2,8,4,5,7,1,4,1,2006,134713,335,2023-02-23,2024-01-07,3,115278
