Car_make,Model,Mileage,Transmission,Year,Website_post_date,Sell_date,Options,Horsepower,Color,Damage,Body_style,Fuel_type,Num_of_prev_owners,Estimated_price
Ford,Fusion,45879,Automatic,2023,11.07.23,08.01.24,Base,325,black,None,Sedan,Gasoline,5,16842
BMW,3 Series,168442,Automatic,2022,27.06.23,15.01.24,Base,255,black,Low,SUV,Hybrid,5,112732
Mercedes-Benz,GLC,162907,Automatic,2018,26.08.23,05.01.24,Base,362,blue,Total,Sedan,Electric,2,80364
Mercedes-Benz,E-Class,57856,Automatic,2015,26.10.23,16.01.24,Full,255,white,None,Convertible,Diesel,2,57383
BMW,X5,33511,Automatic,2004,13.04.23,16.11.23,Base,335,silver,None,Sedan,Plug-in Hybrid,3,69914
BMW,X3,121392,Automatic,2022,12.07.23,08.12.23,Full,382,silver,Low,Coupe,Diesel,4,14851
Toyota,Corolla,153517,Automatic,2004,10.09.23,10.12.23,Luxe,139,silver,Total,SUV,Gasoline,1,72031
Ford,Fusion,135932,Automatic,2010,05.02.23,11.02.24,Advanced,325,white,Total,Truck,Plug-in Hybrid,3,73686
BMW,X3,66041,Automatic,2002,18.07.23,25.11.23,Advanced,382,black,Low,SUV,Electric,2,6425
Mercedes-Benz,E-Class,138626,Automatic,2001,16.03.23,21.01.24,Full,362,beige,Medium,Van,Diesel,1,83900
BMW,3 Series,110260,Automatic,2021,21.01.23,13.02.24,Advanced,255,black,Total,Van,Hybrid,4,111011
BMW,X3,81259,Automatic,2021,07.05.23,24.12.23,Luxe,382,silver,None,SUV,Hybrid,5,39976
Mercedes-Benz,E-Class,85552,Automatic,2006,09.11.23,04.01.24,Base,255,beige,Total,Truck,Hybrid,1,6822
Ford,F-150,125934,Automatic,2015,18.06.23,24.11.23,Luxe,400,red,None,SUV,Diesel,5,28198
Chevrolet,Silverado,147487,Automatic,2017,25.06.23,26.01.24,Advanced,355,red,None,Coupe,Hybrid,3,5440
Toyota,Prius,48352,Automatic,2003,02.12.22,16.12.23,Full,121,black,Total,Wagon,Hybrid,1,34257
Ford,F-150,55144,Automatic,2018,05.06.23,18.11.23,Full,400,white,Total,Sedan,Gasoline,2,15723
Ford,Explorer,177051,Automatic,2002,24.02.23,14.12.23,Full,290,white,Medium,Truck,Diesel,2,35639
