Car_make,Model,Mileage,Transmission,Year,Website_post_date,Sell_date,Options,Horsepower,Color,Damage,Body_style,Fuel_type,Num_of_prev_owners,Estimated_price
Ford,Fusion,45879,Automatic,2023,11.07.23,08.01.24,Base,325,blue,Low,Van,Plug-in Hybrid,3,90812
BMW,3 Series,168442,Automatic,2022,27.06.23,15.01.24,Base,255,blue,None,Wagon,Electric,5,22992
Mercedes-Benz,GLC,162907,Automatic,2018,26.08.23,05.01.24,Base,362,white,None,Hatchback,Diesel,2,112050
Mercedes-Benz,E-Class,57856,Automatic,2015,26.10.23,16.01.24,Full,255,white,Total,Van,Gasoline,4,63006
BMW,X5,33511,Automatic,2004,13.04.23,16.11.23,Base,335,white,Low,Truck,Gasoline,4,88357
BMW,X3,121392,Automatic,2022,12.07.23,08.12.23,Full,382,black,Medium,Sedan,Hybrid,1,72283
Toyota,Corolla,153517,Automatic,2004,10.09.23,10.12.23,Luxe,139,black,Total,SUV,Hybrid,2,31347
Ford,Fusion,135932,Automatic,2010,05.02.23,11.02.24,Advanced,325,beige,None,Wagon,Plug-in Hybrid,5,100435
BMW,X3,66041,Automatic,2002,18.07.23,25.11.23,Advanced,382,black,Low,Wagon,Diesel,5,57221
Mercedes-Benz,E-Class,138626,Automatic,2001,16.03.23,21.01.24,Full,362,blue,Total,Truck,Gasoline,2,110149
BMW,3 Series,110260,Automatic,2021,21.01.23,13.02.24,Advanced,255,silver,None,Sedan,Plug-in Hybrid,1,108636
BMW,X3,81259,Automatic,2021,07.05.23,24.12.23,Luxe,382,blue,Medium,Sedan,Gasoline,1,9793
Mercedes-Benz,E-Class,85552,Automatic,2006,09.11.23,04.01.24,Base,255,black,None,Wagon,Hybrid,1,10132
Ford,F-150,125934,Automatic,2015,18.06.23,24.11.23,Luxe,400,white,Total,Coupe,Plug-in Hybrid,4,65819
Chevrolet,Silverado,147487,Automatic,2017,25.06.23,26.01.24,Advanced,355,black,Medium,Truck,Diesel,4,52384
Toyota,Prius,48352,Automatic,2003,02.12.22,16.12.23,Full,121,white,Medium,Wagon,Gasoline,2,57269
Ford,F-150,55144,Automatic,2018,05.06.23,18.11.23,Full,400,silver,Total,Convertible,Gasoline,3,55202
Ford,Explorer,177051,Automatic,2002,24.02.23,14.12.23,Full,290,white,Low,SUV,Diesel,1,81559
BMW,X3,69589,Automatic,2010,12.09.23,19.11.23,Full,248,blue,Low,Sedan,Gasoline,1,42557
Ford,F-150,166431,Automatic,2012,30.06.23,25.01.24,Base,400,black,Total,Convertible,Plug-in Hybrid,5,32743
Ford,Mustang,186283,Automatic,2004,24.02.23,28.01.24,Full,300,black,Medium,Convertible,Diesel,3,37904
Ford,Fusion,176422,Automatic,2005,20.06.23,12.01.24,Luxe,188,red,Total,Van,Plug-in Hybrid,5,28165
BMW,5 Series,73619,Automatic,2019,20.12.22,28.12.23,Advanced,248,beige,Low,Convertible,Plug-in Hybrid,3,50067
Audi,Q5,124972,Automatic,2001,15.02.23,07.01.24,Base,261,blue,Total,SUV,Hybrid,2,101960
Toyota,Prius,31860,Manual,2012,29.03.23,23.01.24,Advanced,121,red,Medium,Van,Hybrid,2,59684
Chevrolet,Silverado,105187,Automatic,2021,16.01.23,06.12.23,Luxe,355,blue,Medium,Wagon,Hybrid,1,51234
Audi,Q5,20633,Automatic,2007,21.02.23,11.01.24,Full,349,blue,Total,Sedan,Plug-in Hybrid,4,76202
Toyota,Prius,23953,Automatic,2010,15.05.23,07.12.23,Base,121,blue,Total,Van,Hybrid,4,87886
Audi,Q5,91126,Automatic,2004,25.09.23,10.12.23,Full,349,black,Medium,Wagon,Gasoline,2,75901
Mercedes-Benz,E-Class,127520,Automatic,2008,09.12.22,27.11.23,Advanced,362,black,None,Sedan,Gasoline,4,20600
Chevrolet,Malibu,94287,Automatic,2006,12.05.23,04.01.24,Full,250,black,Medium,Van,Diesel,2,83863
Mercedes-Benz,C-Class,197224,Automatic,2004,12.10.23,03.12.23,Advanced,255,red,Low,Wagon,Hybrid,5,96885
Ford,Explorer,186894,Automatic,2013,26.07.23,16.01.24,Base,300,silver,Total,Convertible,Hybrid,5,103882
BMW,3 Series,148153,Automatic,2000,01.08.23,11.12.23,Base,382,blue,None,Sedan,Electric,3,25037
