Car Make,Model,Mileage,Configuration,Year of Make,Primary Damage,Secondary Damage,Website Post Date,Sell Date,Estimated Price (USD),Options,Engine Type,Horsepower
Mercedes-Benz,S-Class,59281,Automatic,2003,Rear,,2023-07-26 16:34:10.625199,2023-07-29 16:34:10.625199,10624.5,Base,3.0L I6 Turbo,429
Toyota,Camry,53282,Automatic,2012,,,2024-09-05 16:34:10.625244,2024-10-11 16:34:10.625244,10000.0,Full,3.5L V6,301
Mercedes-Benz,C-Class,48800,Automatic,2020,,,2022-07-28 16:34:10.625264,2022-09-03 16:34:10.625264,23123.72,Base,2.0L I4 Turbo,255
Toyota,RAV4,118062,Automatic,2013,,,2024-10-09 16:34:10.625282,,10000.0,Luxe,2.5L I4,203
Mercedes-Benz,C-Class,199416,Automatic,2015,,,2024-02-29 16:34:10.625296,2024-04-10 16:34:10.625296,10000.0,Advanced,2.0L I4 Turbo,255
Mercedes-Benz,E-Class,104854,Automatic,2016,,,2023-08-04 16:34:10.625311,,10343.96,Luxe,3.0L I6 Turbo,362
Audi,A6,164722,Automatic,2001,,,2023-03-18 16:34:10.625328,,15000.0,Base,2.0L I4 Turbo,248
Toyota,Tacoma,94999,Automatic,2021,,,2023-04-03 16:34:10.625354,,26027.24,Base,2.7L I4,159
Audi,Q7,50131,Automatic,2021,,,2024-04-23 16:34:10.625381,,83546.94,Full,3.0L V6 Turbo,335
Toyota,Camry,177643,Automatic,1991,,,2024-01-08 16:34:10.625406,2024-02-29 16:34:10.625406,10000.0,Advanced,3.5L V6,301
Audi,Q5,154671,Automatic,2015,,,2024-10-21 16:34:10.625429,2024-12-15 16:34:10.625429,15000.0,Luxe,3.0L V6,349
Mercedes-Benz,C-Class,48600,Automatic,2004,Front,,2023-09-11 16:34:10.625444,,10000.0,Luxe,2.0L I4 Turbo,255
Toyota,RAV4,70750,Automatic,2006,,,2022-12-07 16:34:10.625457,2022-12-15 16:34:10.625457,10000.0,Luxe,2.5L I4,203
